"Qty";"Value";"Device";"Package";"Parts";"Description";"PN";"PN2";"PROD_ID";"SKU";"VALUE";
"6";"";"LED-WHITE0603";"LED-0603";"D4, D5, D6, D7, D8, D9";"White SMD LEDs";"1516-1057-1-ND";"";"DIO-09004";"";"";
"1";"";"M02JST-PTH-2";"JST-2-PTH";"J5";"Standard 2-pin 0.1" header. Use with";"455-1719-ND";"";"CONN-09863";"PRT-09914";"";
"1";"";"M03POLAR";"MOLEX-1X3";"J2";"Header 3";"WM4201-ND";"";"";"";"";
"3";"";"TRANSISTOR_NPNP2N2222A";"TO-92";"Q1, Q2, Q3";"Generic NPN BJT";"PN2222AFS-ND";"";"TRANS-09536";"";"";
"1";"0.1";"RESISTOR0603-RES";"0603-RES";"R6";"Resistor";"1276-6155-1-ND";"";"";"";"";
"2";"100";"RESISTOR0603-RES";"0603-RES";"R11, R12";"Resistor";"P100HCT-ND";"";"";"";"";
"3";"100k";"RESISTOR0603-RES";"0603-RES";"R2, R4, R10";"Resistor";"P100KHCT-ND";"";"";"";"";
"1";"100uf";"CAP_POLPTH1";"CPOL-RADIAL-100UF-25V";"C5";"Capacitor Polarized";"399-6650-1-ND";"";"";"";"";
"1";"10uH";"INDUCTORRLB0912";"RLB0912";"L1";"Inductors";"RLB0912-100KL-ND";"";"";"";"";
"5";"10uf";"CAP0603-CAP";"0603-CAP";"C1, C2, C4, C6, C7";"Capacitor";"490-7202-1-ND";"";"";"";"";
"1";"174k";"RESISTOR0603-RES";"0603-RES";"R5";"Resistor";"P174KHCT-ND";"";"";"";"";
"1";"1N914";"DIODEBAS16";"SOD-323";"D2";"Diode";"1N914BWSCT-ND";"";"DIO-09646";"";"250mA/100V";
"1";"1uf";"CAP0603-CAP";"0603-CAP";"C3";"Capacitor";"490-1536-1-ND";"";"";"";"";
"2";"309k";"RESISTOR0603-RES";"0603-RES";"R3, R9";"Resistor";"P309KHCT-ND";"";"";"";"";
"2";"3352T";"3352T";"3352T";"R7, R8";"";"3352T-103LF-ND";"";"";"";"";
"3";"390";"RESISTOR0603-RES";"0603-RES";"R13, R14, R15";"Resistor";"P390HCT-ND";"";"";"";"";
"1";"499k";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"P499KHCT-ND";"";"";"";"";
"1";"7805";"M03PTH";"1X03";"J3";"Header 3";"811-2196-5-ND";"811-2196-5-ND";"";"";"";
"1";"ATTINY85";"ATTINY85";"8P3";"U2";"";"ATTINY85-20PU-ND";"AE9986-ND";"";"";"";
"1";"BZX84C6V2L";"BZX84C6V2L";"SOT23-3";"D10";"";"SZBZX84C6V2LT1GOSCT-ND";"";"";"";"";
"1";"JUMPER-PAD-2-NO";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"JP1";"";"";"";"";"";"";
"1";"LT3652";"LT3652";"MSOP-12_GND";"U1";"LT3652 MPPT Solar Charge Controller";"LT3652EMSE#PBF-ND";"";"";"";"LT3652";
"2";"MBRS140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"D1, D3";"Schottky diodes in SFE's production catalog";"MBRS140T3GOSCT-ND";"";"DIO-08053";"";"MBRA140";
"1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"J1";"Power Jack";"CP-202A-ND";"";"CONN-08197";"";"";
"1";"USB_";"USB_";"USB-A-S-SILK-FEMALE";"J6";"USB Connectors";"1175-1001-ND";"";"";"";"";
